Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
1/5/2016,LAL,W 109-88,26,6,13,4,8,1,1,1,6,0,3,2,3,17,REGULAR SEASON STATS,W,109,88
1/8/2016,POR,W 128-108,29,8,18,4,11,6,6,3,9,0,1,2,1,26,REGULAR SEASON STATS,W,128,108
1/9/2016,SAC,W 128-116,38,12,21,8,14,6,7,6,11,1,1,3,4,38,REGULAR SEASON STATS,W,128,116
1/11/2016,MIA,W 111-103,38,11,27,4,11,5,6,2,6,0,1,2,1,31,REGULAR SEASON STATS,W,111,103
1/13/2016,DEN,L 110-112,40,13,25,5,12,7,7,5,9,1,3,1,8,38,REGULAR SEASON STATS,L,110,112
1/14/2016,LAL,W 116-98,30,9,18,8,16,0,0,6,3,0,1,3,3,26,REGULAR SEASON STATS,W,116,98
1/16/2016,DET,L 95-113,37,13,26,7,15,5,6,7,5,0,2,1,2,38,REGULAR SEASON STATS,L,95,113
1/18/2016,CLE,W 132-98,28,12,18,7,12,4,4,5,4,0,3,3,1,35,REGULAR SEASON STATS,W,132,98
1/20/2016,CHI,W 125-94,34,8,18,3,9,6,6,7,11,1,2,2,2,25,REGULAR SEASON STATS,W,125,94
1/22/2016,IND,W 122-110,37,11,19,8,15,9,9,10,12,0,1,1,2,39,REGULAR SEASON STATS,W,122,110
1/25/2016,SA,W 120-90,28,12,20,6,9,7,7,2,3,0,5,0,1,37,REGULAR SEASON STATS,W,120,90
1/27/2016,DAL,W 127-107,32,4,11,3,7,3,3,2,9,1,3,2,0,14,REGULAR SEASON STATS,W,127,107
1/30/2016,PHI,W 108-105,34,9,19,5,11,0,0,5,6,2,1,3,8,23,REGULAR SEASON STATS,W,108,105
1/31/2016,NY,W 116-95,32,5,17,3,11,0,0,4,4,0,3,1,3,13,REGULAR SEASON STATS,W,116,95
2/3/2016,WSH,W 134-121,36,19,28,11,15,2,3,7,2,0,3,3,7,51,REGULAR SEASON STATS,W,134,121
2/6/2016,OKC,W 116-108,38,10,26,1,9,5,5,6,10,0,3,2,3,26,REGULAR SEASON STATS,W,116,108
2/9/2016,HOU,W 123-110,38,12,24,7,16,4,4,5,9,0,1,2,1,35,REGULAR SEASON STATS,W,123,110
2/10/2016,PHX,W 112-104,30,9,17,5,10,3,4,9,9,1,1,1,2,26,REGULAR SEASON STATS,W,112,104
2/14/2016,EAST,W 196-173,29,10,18,6,13,0,0,5,6,0,4,1,2,26,REGULAR SEASON STATS,W,196,173
2/19/2016,POR,L 105-137,26,12,23,7,13,0,0,3,5,0,2,4,3,31,REGULAR SEASON STATS,L,105,137
2/20/2016,LAC,W 115-112,36,5,15,3,8,10,12,3,9,0,3,2,3,23,REGULAR SEASON STATS,W,115,112
2/22/2016,ATL,W 102-92,36,14,22,5,11,3,3,6,8,0,3,2,2,36,REGULAR SEASON STATS,W,102,92
2/24/2016,MIA,W 118-112,36,14,29,6,12,8,8,7,7,1,1,0,7,42,REGULAR SEASON STATS,W,118,112
2/25/2016,ORL,W 130-114,34,20,27,10,15,1,1,7,8,1,0,1,5,51,REGULAR SEASON STATS,W,130,114
2/27/2016,OKC,W 121-118,38,14,24,12,16,6,8,3,6,0,2,1,3,46,REGULAR SEASON STATS,W,121,118
3/1/2016,ATL,W 109-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,109,105
3/3/2016,OKC,W 121-106,37,12,25,5,15,4,5,4,4,1,1,2,1,33,REGULAR SEASON STATS,W,121,106
3/6/2016,LAL,L 95-112,34,6,20,1,10,5,5,6,4,0,1,2,4,18,REGULAR SEASON STATS,L,95,112
3/7/2016,ORL,W 119-113,37,14,24,7,13,6,6,13,3,0,4,3,5,41,REGULAR SEASON STATS,W,119,113
3/9/2016,UTAH,W 115-94,32,4,12,3,9,1,2,3,10,0,3,2,3,12,REGULAR SEASON STATS,W,115,94
3/11/2016,POR,W 128-112,29,13,23,7,14,1,2,3,4,0,2,2,3,34,REGULAR SEASON STATS,W,128,112
